T_DS_K,gamma,N,catalog_survival,photometric_recovery_all,host_pass_all,joint_photometry_and_host_pass,factorized_joint_estimate,joint_over_factorized,median_best_RMSE_mag_survivors
200.0,0.5,3000,0.994,0.9526666666666667,0.442,0.43166666666666664,0.42107866666666666,1.0251449452042216,0.07666002793768863
200.0,0.7,3000,0.988,0.9393333333333334,0.442,0.4256666666666667,0.41518533333333335,1.0252449508492594,0.0899332088717697
200.0,0.9,3000,0.9186666666666666,0.605,0.442,0.2743333333333333,0.26741,1.025890330703165,0.16941654227793962
250.0,0.1,3000,0.998,0.9323333333333333,0.442,0.42533333333333334,0.41209133333333337,1.0321336532192702,0.08131572739130047
250.0,0.2,3000,0.9986666666666667,0.953,0.442,0.43466666666666665,0.421226,1.0319084450310918,0.07646748698149707
250.0,0.3,3000,0.9983333333333333,0.957,0.442,0.43433333333333335,0.422994,1.0268073148397694,0.07473512523325519
250.0,0.5,3000,0.9943333333333333,0.9533333333333334,0.442,0.43266666666666664,0.4213733333333334,1.0268012530455968,0.07497252210560094
250.0,0.7,3000,0.989,0.9416666666666667,0.442,0.426,0.4162166666666667,1.023505385816682,0.08808060588838025
250.0,0.9,3000,0.9246666666666666,0.596,0.442,0.2773333333333333,0.263432,1.0527701013291222,0.1710682459533048
300.0,0.1,3000,0.9986666666666667,0.9383333333333334,0.442,0.4266666666666667,0.41474333333333335,1.0287487040177459,0.07926994628731437
300.0,0.2,3000,0.9986666666666667,0.955,0.442,0.43466666666666665,0.42211,1.0297473802247439,0.07547832749240851
300.0,0.3,3000,0.9986666666666667,0.96,0.442,0.436,0.42432,1.0275263951734541,0.07370191466633966
300.0,0.5,3000,0.9936666666666667,0.9553333333333334,0.442,0.43366666666666664,0.4222573333333334,1.0270198583486214,0.07429533471944572
300.0,0.7,3000,0.9896666666666667,0.95,0.442,0.431,0.4199,1.0264348654441533,0.0861419547471261
300.0,0.9,3000,0.936,0.706,0.442,0.32666666666666666,0.312052,1.0468340746627698,0.15594474807759034
400.0,0.1,3000,0.9986666666666667,0.9436666666666667,0.442,0.42766666666666664,0.4171006666666667,1.0253320141740363,0.0783043924637253
400.0,0.2,3000,0.9986666666666667,0.9613333333333334,0.442,0.43566666666666665,0.42490933333333336,1.0253167734606912,0.07317770184648525
400.0,0.3,3000,0.9986666666666667,0.9626666666666667,0.442,0.437,0.4254986666666667,1.027030245296499,0.07117275715933388
400.0,0.5,3000,0.9946666666666667,0.9613333333333334,0.442,0.43666666666666665,0.42490933333333336,1.0276702167050538,0.07182241125969457
400.0,0.7,3000,0.9896666666666667,0.959,0.442,0.435,0.423878,1.026238681884882,0.07951591568398429
400.0,0.9,3000,0.9396666666666667,0.768,0.442,0.3566666666666667,0.33945600000000004,1.0507007290095525,0.1403986422087813
500.0,0.1,3000,0.9986666666666667,0.9483333333333334,0.442,0.42933333333333334,0.41916333333333333,1.0242626183906036,0.07571201619375947
500.0,0.2,3000,0.9986666666666667,0.962,0.442,0.43633333333333335,0.42520399999999997,1.02617410309718,0.07164775270721528
500.0,0.3,3000,0.9986666666666667,0.965,0.442,0.43766666666666665,0.42652999999999996,1.0261099258356192,0.06881868515647335
500.0,0.5,3000,0.9946666666666667,0.963,0.442,0.43666666666666665,0.42564599999999997,1.0258916251219714,0.0695942728629473
500.0,0.7,3000,0.9896666666666667,0.9593333333333334,0.442,0.43466666666666665,0.42402533333333337,1.0250959848310948,0.07781055327468712
500.0,0.9,3000,0.944,0.794,0.442,0.36666666666666664,0.35094800000000004,1.0447891615471996,0.13374014211629562
600.0,0.1,3000,0.9986666666666667,0.9503333333333334,0.442,0.43,0.42004733333333333,1.023694155103155,0.07331869317106221
600.0,0.2,3000,0.9986666666666667,0.966,0.442,0.437,0.426972,1.0234863176039646,0.06963036372807002
600.0,0.3,3000,0.9986666666666667,0.9683333333333334,0.442,0.438,0.42800333333333335,1.023356515914985,0.06705310632939857
600.0,0.5,3000,0.9953333333333333,0.967,0.442,0.438,0.427414,1.0247675555784321,0.06670175868832913
600.0,0.7,3000,0.9896666666666667,0.963,0.442,0.436,0.42564599999999997,1.0243253783660602,0.07468726069104126
600.0,0.9,3000,0.9636666666666667,0.8393333333333334,0.442,0.382,0.37098533333333333,1.0296903022221904,0.12157284520621514
700.0,0.1,3000,0.9986666666666667,0.9463333333333334,0.442,0.42966666666666664,0.41827933333333334,1.0272242313350408,0.07628809478300536
700.0,0.2,3000,0.9986666666666667,0.9666666666666667,0.442,0.43733333333333335,0.4272666666666667,1.0235606178811048,0.06993663291292324
700.0,0.3,3000,0.9983333333333333,0.967,0.442,0.43766666666666665,0.427414,1.0239876715939735,0.06657136541253772
700.0,0.5,3000,0.9953333333333333,0.966,0.442,0.437,0.426972,1.0234863176039646,0.06566177294253064
700.0,0.7,3000,0.9896666666666667,0.9676666666666667,0.442,0.437,0.4277086666666667,1.0217235096163588,0.07172179972797725
700.0,0.9,3000,0.9826666666666667,0.902,0.442,0.4136666666666667,0.39868400000000004,1.0375803058729887,0.11386063793367689
