T_DS_K,gamma,catalog_survival,photometric_recovery_all,host_pass_all,joint_photometry_and_host_pass,host_pass_given_photometric_recovery,photometric_recovery_given_host_pass,factorized_joint_estimate,factorization_ratio_joint_over_product,C_partial_final_source_level
400,0.2,0.9986666666666667,0.9613333333333334,0.442,0.43566666666666665,0.45319001386962554,0.9856711915535445,0.42490933333333336,1.0253167734606912,0.4071704361111111
400,0.3,0.9986666666666667,0.9626666666666667,0.442,0.437,0.45394736842105265,0.9886877828054299,0.4254986666666667,1.027030245296499,0.40841655833333335
400,0.5,0.9946666666666667,0.9613333333333334,0.442,0.43666666666666665,0.45423023578363386,0.9879336349924586,0.42490933333333336,1.0276702167050538,0.40810502777777774
400,0.7,0.9896666666666667,0.959,0.442,0.435,0.45359749739311783,0.9841628959276018,0.423878,1.026238681884882,0.406547375
400,0.9,0.9396666666666667,0.768,0.442,0.3566666666666667,0.4644097222222222,0.8069381598793364,0.33945600000000004,1.0507007290095525,0.3333376944444445
500,0.1,0.9986666666666667,0.9483333333333334,0.442,0.42933333333333334,0.4527240773286467,0.971342383107089,0.41916333333333333,1.0242626183906036,0.4012513555555556
500,0.2,0.9986666666666667,0.9623333333333334,0.442,0.43633333333333335,0.4534118462071354,0.9871794871794872,0.42535133333333336,1.0258186565772294,0.40779349722222225
500,0.3,0.9986666666666667,0.965,0.442,0.43766666666666665,0.4535405872193437,0.9901960784313726,0.42652999999999996,1.0261099258356192,0.40903961944444445
500,0.5,0.9946666666666667,0.963,0.442,0.43666666666666665,0.4534440983039114,0.9879336349924586,0.42564599999999997,1.0258916251219714,0.40810502777777774
500,0.7,0.9896666666666667,0.9593333333333334,0.442,0.43466666666666665,0.453092425295344,0.9834087481146304,0.42402533333333337,1.0250959848310948,0.40623584444444444
500,0.9,0.944,0.794,0.442,0.36666666666666664,0.4617968094038623,0.8295625942684767,0.35094800000000004,1.0447891615471996,0.3426836111111111
600,0.1,0.9986666666666667,0.9503333333333334,0.442,0.43,0.4524728165555945,0.9728506787330317,0.42004733333333333,1.023694155103155,0.4018744166666667
600,0.2,0.9986666666666667,0.966,0.442,0.437,0.4523809523809524,0.9886877828054299,0.426972,1.0234863176039646,0.40841655833333335
600,0.3,0.9986666666666667,0.9683333333333334,0.442,0.438,0.4523235800344234,0.9909502262443439,0.42800333333333335,1.023356515914985,0.40935115
600,0.5,0.9953333333333333,0.967,0.442,0.438,0.452947259565667,0.9909502262443439,0.427414,1.0247675555784321,0.40935115
600,0.7,0.9896666666666667,0.963,0.442,0.436,0.45275181723779856,0.9864253393665159,0.42564599999999997,1.0243253783660602,0.4074819666666667
600,0.9,0.9636666666666667,0.8393333333333334,0.442,0.382,0.4551231135822081,0.8642533936651584,0.37098533333333333,1.0296903022221904,0.35701401666666666
700,0.1,0.9986666666666667,0.946,0.442,0.42966666666666664,0.45419309372797745,0.9720965309200603,0.418132,1.0275861849049264,0.4015628861111111
700,0.2,0.9986666666666667,0.9666666666666667,0.442,0.43733333333333335,0.45241379310344826,0.9894419306184012,0.4272666666666667,1.0235606178811048,0.40872808888888895
700,0.3,0.9983333333333333,0.967,0.442,0.43766666666666665,0.4526025508445364,0.9901960784313726,0.427414,1.0239876715939735,0.40903961944444445
700,0.5,0.9953333333333333,0.966,0.442,0.437,0.4523809523809524,0.9886877828054299,0.426972,1.0234863176039646,0.40841655833333335
700,0.7,0.9896666666666667,0.9676666666666667,0.442,0.437,0.4516017912504306,0.9886877828054299,0.4277086666666667,1.0217235096163588,0.40841655833333335
700,0.9,0.9826666666666667,0.902,0.442,0.4136666666666667,0.45861049519586106,0.9358974358974359,0.39868400000000004,1.0375803058729887,0.38660941944444444
